,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Hate?,Flag ???,Responding to,Upvotes,Downvotes
447,Twitchy,Democratic mayors call for immediate removal of federal agents and a congress…,['2020/07/20'],167 comments,https://twitchy.com/brettt-3136/2020/07/20/democratic-mayors-call-for-immediate-removal-of-federal-agents-and-a-congressional-investigation-of-their-unconstitutional-terror-tactics/,NDPACKER,"Ted Wheeller should be arrested, charged with treason, found guilty and hung by his neck until dead.",,,Abort Democrats,2,?
448,Twitchy,Source familiar with Tater’s thinking says he’s a TOOL: Tim Pool calls Brian Stelter…,['2020/07/21'],65 comments,https://twitchy.com/samj-3930/2020/07/21/source-familiar-with-taters-thinking-says-hes-a-tool-tim-pool-calls-brian-stelter-out-for-violating-journalistic-ethics-and-damn/,NDPACKER,"A source familiar with Brian Stelter's thinking told me he is incapable of a lucid thought.This same source also told me that Brian is still fat, still bald, still stupid and still a communist propagandist.MAGA!",,,boforpresident,2,?
449,Twitchy,‘FED GOONS OUT OF PDX’: Scenes from last night’s rioting in Portland [video],['2020/07/21'],232 comments,https://twitchy.com/gregp-3534/2020/07/21/fed-goons-out-of-pdx-scenes-from-last-nights-rioting-in-portland-video/,NDPACKER,Kill.  Them.  All.,,,topbond101,1,?
450,Twitchy,George Stephanopoulos’ wife says parents should watch porn with their kids,['2020/07/21'],249 comments,https://twitchy.com/gregp-3534/2020/07/21/george-stephanopoulos-wife-says-parents-should-watch-porn-with-their-kids/,NDPACKER,Don't they have laws against abusing children?,,,GRIZZ,2,?
451,Twitchy,George Stephanopoulos’ wife says parents should watch porn with their kids,['2020/07/21'],249 comments,https://twitchy.com/gregp-3534/2020/07/21/george-stephanopoulos-wife-says-parents-should-watch-porn-with-their-kids/,NDPACKER,Is it the wuhan virus or TDS that makes these people lose their minds?,,,Orwellian_Dilemma,6,?
452,Twitchy,Jonathan Turley drops a #FakeNews hammer on Chuck Todd’s ‘knowingly mi…,['2020/07/20'],155 comments,https://twitchy.com/dougp-3137/2020/07/20/jonathan-turley-drops-a-fakenews-hammer-on-chuck-todds-knowingly-misleading-segment-about-kayleigh-mcenanys-comments-on-opening-schools/,NDPACKER,Chuck Todd should be murdered.  Any volunteers?,,,Bubblesisaliberal,2,1
453,Townhall,"Kaepernick's New Producer: Let's Face It, Every Single Trump Voter is a Straight-U…",['2020/07/20'],1116 comments,https://townhall.com/tipsheet/guybenson/2020/07/20/hil-trump-voters-racist-n2572760,NDPACKER,If you are Jemele Hill you are the most racist monkey in America.  You have no wiggle room.,,,Marillion,13,1
454,Twitchy,The federal judge whose son was killed and husband wounded was just assigned…,['2020/07/20'],152 comments,https://twitchy.com/gregp-3534/2020/07/20/the-federal-judge-whose-son-was-killed-and-husband-wounded-was-just-assigned-the-epstein-deutsche-bank-case/,NDPACKER,The clintons or obama are behind this.,,,Ann,2,?
455,Townhall,1984-ish Tactics Are Being Used Against a Couple Who Refused to Sign Coronavirus…,['2020/07/19'],1159 comments,https://townhall.com/tipsheet/bethbaumann/2020/07/19/1984ish-tactics-are-being-used-against-a-couple-who-refused-to-sign-coronavirus-documents-n2572734,NDPACKER,"Or any democrat controlled city, county, reservation or state.",,,The pit,21,?
456,Townhall,1984-ish Tactics Are Being Used Against a Couple Who Refused to Sign Coronavirus…,['2020/07/19'],1159 comments,https://townhall.com/tipsheet/bethbaumann/2020/07/19/1984ish-tactics-are-being-used-against-a-couple-who-refused-to-sign-coronavirus-documents-n2572734,NDPACKER,And it will continue until we start fighting back by killing ALL of the health department officials around the country.,,,JustSomeGuy,1,4
457,Twitchy,REEE! Blue-check lefty prof claims Trump admin is KIDNAPPING AMERICANS off th…,['2020/07/19'],152 comments,https://twitchy.com/samj-3930/2020/07/19/reee-blue-check-lefty-prof-claims-trump-admin-is-kidnapping-americans-off-the-streets-and-omg-everything-is-stupid/,NDPACKER,ISIS should cut Jared Yates Sexton's head off.  Film at 11:00.,,,Brad Hobbs,7,?
458,Townhall,WATCH: On-the-Ground Footage Shows Just How Bad the Riots in Portland Reall…,['2020/07/19'],1737 comments,https://townhall.com/tipsheet/bethbaumann/2020/07/19/watch-on-the-ground-footage-shows-just-how-bad-the-riots-in-portland-really-are-n2572726,NDPACKER,Kill.  Them.  All.,,,John Truman,1,?
459,Twitchy,‘Simpering TOOL’: Portland Mayor Ted Wheeler babbling about needing a ‘safe…,['2020/07/19'],221 comments,https://twitchy.com/samj-3930/2020/07/19/simpering-tool-portland-mayor-ted-wheeler-babbling-about-needing-a-safe-space-from-federal-officers-goes-so-wrong/,NDPACKER,Why are liberals like Ted Wheeler allowed to breath American air?,,,Kevin McGrath,18,?
460,Twitchy,Blue check writer questions system of gov’t that makes ‘an 87-year-old woman…,['2020/07/18'],214 comments,https://twitchy.com/dougp-3137/2020/07/18/blue-check-writer-questions-system-of-govt-that-makes-an-87-year-old-woman-on-chemo-feel-compelled-to-keep-working-as-a-scotus-justice-to-hold-fascism-at-bay/,NDPACKER,Sorry but your muslim monkey was the one that tried to start the race war.,,,Tiny Roger,3,?
461,Twitchy,Blue check writer questions system of gov’t that makes ‘an 87-year-old woman…,['2020/07/18'],214 comments,https://twitchy.com/dougp-3137/2020/07/18/blue-check-writer-questions-system-of-govt-that-makes-an-87-year-old-woman-on-chemo-feel-compelled-to-keep-working-as-a-scotus-justice-to-hold-fascism-at-bay/,NDPACKER,"It won't, so we may as well start killing the liberals.",,,Virginia Bob,1,?
462,Twitchy,Blue check writer questions system of gov’t that makes ‘an 87-year-old woman…,['2020/07/18'],214 comments,https://twitchy.com/dougp-3137/2020/07/18/blue-check-writer-questions-system-of-govt-that-makes-an-87-year-old-woman-on-chemo-feel-compelled-to-keep-working-as-a-scotus-justice-to-hold-fascism-at-bay/,NDPACKER,Laura Basset is the most racist fascist on the planet.,,,VietVet1972,4,?
463,Twitchy,‘Tons of protesters choking on pepper spray’: Chicago cops defend Christopher…,['2020/07/17'],218 comments,https://twitchy.com/gregp-3534/2020/07/17/tons-of-protesters-choking-on-pepper-spray-chicago-cops-defend-christopher-columbus-statue/,NDPACKER,They should have killed all of the protesters.,,,Guest,5,?
464,Twitchy,"SIREN: Don’t look now, but the New York Times is sounding the ALARM over mail-i…",['2020/07/18'],113 comments,https://twitchy.com/gregp-3534/2020/07/18/siren-dont-look-now-but-the-new-york-times-is-sounding-the-alarm-over-mail-in-ballots/,NDPACKER,The first problem is they are having illiterate monkeys read the ballots.,,,moodydon,5,?
465,Twitchy,Just like SPARTACUS! Cory Booker plays DUMB when asked about Nick Cannon a…,['2020/07/17'],71 comments,https://twitchy.com/samj-3930/2020/07/17/just-like-spartacus-cory-booker-plays-dumb-when-asked-about-nick-cannon-and-desean-jacksons-anti-semitic-comments/,NDPACKER,"Booker is a democrat, so that automatically makes him a liar.  I keep asking for one example where a democrat, any democrat told the truth about anything and no one can provide one,",,,voteveto,2,?
466,Twitchy,‘Are you serious??’ Sun Sentinel editorial board says that ‘despite the past’ Browa…,['2020/07/17'],108 comments,https://twitchy.com/dougp-3137/2020/07/17/are-you-serious-sun-sentinel-editorial-board-says-that-despite-the-past-broward-dems-should-nominate-scott-israel-for-sheriff-and-people-have-thoughts/,NDPACKER,I will forever remember them as the Cowards of Broward County.,,,mrdaveno1,17,?
467,Twitchy,Hello BOMBSHELL! Sources inside Trump admin confirm CDC misreporting COVID…,['2020/07/17'],162 comments,https://twitchy.com/samj-3930/2020/07/17/hello-bombshell-sources-inside-trump-admin-confirm-cdc-misreporting-covid-data-to-inflate-the-numbers/,NDPACKER,If we do not kill all of the democrats they will kill all of us.  Lock and load people.,,,,9,1
468,Townhall,Press Sec Drops Hatch Act Definition on Reporter After Question About 'Political'…,['2020/07/17'],413 comments,https://townhall.com/tipsheet/leahbarkoukis/2020/07/17/press-sec-hatch-act-n2572658,NDPACKER,Thank God for White House Press Secretary Kayleigh McEnany!,,,ARMSTROB,62,?
469,Twitchy,"Nothing to see here folks, just MORE errors with COVID positive reporting, this time i…",['2020/07/16'],120 comments,https://twitchy.com/samj-3930/2020/07/16/nothing-to-see-here-folks-just-more-errors-with-covid-positive-reporting-this-time-in-texas/,NDPACKER,When do we get to start killing these lying public health officials?,,,dean b,3,1
470,Twitchy,‘Ha ha ha ha!’ Brian Stelter’s attempt to defend his (and CNN’s) objectivity is the…,['2020/07/16'],68 comments,https://twitchy.com/dougp-3137/2020/07/16/ha-ha-ha-ha-brian-stelters-attempt-to-defend-his-and-cnns-objectivity-is-the-most-hilariously-self-unaware-thing-youll-read-today/,NDPACKER,"Brian Stelter:  Still fat.  Still stupid. Still bald.  Still a sniveling, lying, liberal communist propagandist.",,,,3,?
471,Twitchy,‘THIS is the Chinese Communist Party’: Modern-day Holocaust taking place right…,['2020/07/16'],137 comments,https://twitchy.com/samj-3930/2020/07/16/this-is-the-chinese-communist-party-modern-day-holocaust-taking-place-right-before-our-eyes-watch/,NDPACKER,"C'mon, they're just taking these nice people to a vacation resort...or a gulag.",,,EOD,3,?
472,Twitchy,‘THIS is the Chinese Communist Party’: Modern-day Holocaust taking place right…,['2020/07/16'],137 comments,https://twitchy.com/samj-3930/2020/07/16/this-is-the-chinese-communist-party-modern-day-holocaust-taking-place-right-before-our-eyes-watch/,NDPACKER,This is what will happen here if Biden gets elected.,,,,0,0
473,Townhall,The Anarchist Who Set a Seattle Police Precinct on Fire Has Been Arrested,['2020/07/16'],209 comments,https://townhall.com/tipsheet/katiepavlich/2020/07/16/doj-arrests-more-anarchistsarsonists-n2572560,NDPACKER,Put those monkeys and monkey lover in monkey prison!,,,Jun M,0,0
474,Townhall,A Complete Train Wreck: USA Today's Fact Check on Trump-Nazi Campaign T-Shirts…,['2020/07/16'],294 comments,https://townhall.com/tipsheet/mattvespa/2020/07/16/a-complete-and-utter-train-wreck-usa-todays-nazi-fact-check-on-trump-campaign-j-n2572343,NDPACKER,Why would anyone in their right mind pay anything to the USA today to lie to them?,,,Count Floyd,2,?
475,Townhall,Laughed out of the Room: That’s the Song a LA Times Writer Picked to Replace the…,['2020/07/16'],410 comments,https://townhall.com/tipsheet/mattvespa/2020/07/16/la-times-its-time-to-cancel-the-starspangled-banner-n2572483,NDPACKER,It is time to cancel the LA Times.,,,suerobb,18,?
476,Townhall,Biden-Sanders 'Unity Task Force:' We Must End a Popular Scholarship Program For…,['2020/07/16'],323 comments,https://townhall.com/tipsheet/guybenson/2020/07/16/bidensanders-unity-task-force-lets-end-a-scholarship-program-for-poor-black-kids-n2572335,NDPACKER,"Joe Biden, ""We got's to keep those coloreds down.""",,,SethWatt,0,0
477,Twitchy,"Protesters in Portland create their own autonomous zone, the ‘Chinook Land Au…",['2020/07/15'],115 comments,https://twitchy.com/brettt-3136/2020/07/15/protesters-in-portland-create-their-own-autonomous-zone-the-chinook-land-autonomous-territory-plus-bonus-tds-from-richard-marx/,NDPACKER,Portland has been a third-world sh*thole for decades.,,,drhill,2,?
478,Townhall,WATCH: Civil Rights Attorney Leo Terrell Lays Out Every Issue He Has with Democ…,['2020/07/15'],310 comments,https://townhall.com/tipsheet/bethbaumann/2020/07/15/watch-civil-rights-attorney-leo-terrell-lays-out-every-issue-he-has-with-democra-n2572579,NDPACKER,Thank God for Leo Terrell!  Perhaps you should go crawl in a hole and die if you can't take this as a win.,,,DeplorableCats4all✓ᵛᵉʳᶦᶠᶦᵉᵈ,0,0
479,Twitchy,"Chris Cuomo, who mocked his brother with a giant testing swab for laughs, curses o…",['2020/07/16'],161 comments,https://twitchy.com/gregp-3534/2020/07/16/chris-cuomo-who-mocked-his-brother-with-a-giant-testing-swab-for-laughs-curses-on-air-over-trump-goya-photo/,NDPACKER,Apparently the Cuomo brothers HATE Hispanic people.,,,Kathy Bell,5,?
480,Twitchy,The Dr. Fauci InStyle cover photo was shot on June 6 while the country burned and…,['2020/07/16'],82 comments,https://twitchy.com/gregp-3534/2020/07/16/the-dr-fauci-instyle-cover-photo-was-shot-on-june-6-while-the-country-burned-and-social-distancing-was-being-ignored/,NDPACKER,"Alex I will take ""you're fired"" for $200.",,,,1,?
481,Twitchy,‘Sleep is racist’: Teen Vogue explains how two women are addressing systemic raci…,['2020/07/15'],166 comments,https://twitchy.com/brettt-3136/2020/07/15/sleep-is-racist-teen-vogue-explains-how-two-women-are-addressing-systemic-racism-in-sleep/,NDPACKER,Why would anyone pay these people to lie to them?,,,Captain America,0,0
482,Twitchy,‘Best tweet of the day!’ Kirstie Alley asks for help finding a new state to live in (an…,['2020/07/15'],166 comments,https://twitchy.com/dougp-3137/2020/07/15/best-tweet-of-the-day-kirstie-alley-asks-for-help-finding-a-new-state-to-live-in-and-provides-a-list-of-caveats-thatll-trigger-lefties/,NDPACKER,"Idaho is full of liberals.  North or South Dakota meet all of her criteria.  C',om of Kirstie!  We will leave the light on for you.",,,Liz Golden,8,?
483,Twitchy,Minneapolis Park Board begins the process to repeal nudity ordinance and allow wo…,['2020/07/15'],215 comments,https://twitchy.com/gregp-3534/2020/07/15/minneapolis-park-board-begins-the-process-to-repeal-nudity-ordinance-and-allow-women-to-go-topless/,NDPACKER,They need to use something to lure the perverts back to the the burnt out rubble of third-world sh*thole.,,,Dr Caligari,3,?
484,Townhall,"Racial Activists Keep Students from Summer School, Cite Coronavirus Conce…",['2020/07/15'],75 comments,https://townhall.com/tipsheet/madelinepeltzer/2020/07/15/protesters-block-summer-school-in-detroit-cite-coronavirus-n2572457,NDPACKER,Detroit has been a third-world sh*thole for decades.,,,Charles,11,?
485,Twitchy,‘At any COST’: Brit Hume shares damning thread about the swamp’s (especially m…,['2020/07/14'],72 comments,https://twitchy.com/samj-3930/2020/07/14/at-any-cost-brit-hume-shares-damning-thread-about-the-swamps-especially-media-hatred-of-trump-driving-them-to-destroy-america/,NDPACKER,Good point!,,,Jo K Eas,1,?
486,Twitchy,‘At any COST’: Brit Hume shares damning thread about the swamp’s (especially m…,['2020/07/14'],72 comments,https://twitchy.com/samj-3930/2020/07/14/at-any-cost-brit-hume-shares-damning-thread-about-the-swamps-especially-media-hatred-of-trump-driving-them-to-destroy-america/,NDPACKER,Neither is honesty.,,,BossBass7o7,2,?
487,Twitchy,‘At any COST’: Brit Hume shares damning thread about the swamp’s (especially m…,['2020/07/14'],72 comments,https://twitchy.com/samj-3930/2020/07/14/at-any-cost-brit-hume-shares-damning-thread-about-the-swamps-especially-media-hatred-of-trump-driving-them-to-destroy-america/,NDPACKER,"""The Left can rarely see the big picture because they think a lot like children.""All democrats are immature children.  They lie about everything just like a 4 year old does.",,,,19,?
488,Townhall,"EXCLUSIVE: President Trump Threatens Federal Action in Violent, Democrat Run…",['2020/07/14'],638 comments,https://townhall.com/tipsheet/katiepavlich/2020/07/14/exclusive-president-trump-n2572467,NDPACKER,"Why is it the lying liberal media like townhall must always say the president ""threatens"" so and so?  HE IS NOT THREATENING ANYONE.Katie Pavlich should be fired.",,,Worcester Rooster,0,0
489,Twitchy,‘You’re NOT a real journalist’: Greg Miller tries picking a fight with Richard Grenell…,['2020/07/14'],64 comments,https://twitchy.com/samj-3930/2020/07/14/youre-not-a-real-journalist-greg-miller-tries-picking-a-fight-with-richard-grenell-over-newsom-and-yikes-hes-dead-jim-dead/,NDPACKER,"That is way too low, and they would NEVER be that charitable to you.",,,boforpresident,1,?
490,Twitchy,‘You’re NOT a real journalist’: Greg Miller tries picking a fight with Richard Grenell…,['2020/07/14'],64 comments,https://twitchy.com/samj-3930/2020/07/14/youre-not-a-real-journalist-greg-miller-tries-picking-a-fight-with-richard-grenell-over-newsom-and-yikes-hes-dead-jim-dead/,NDPACKER,Thank God for Richard Grenell!,,,BossBass7o7,5,?
491,Twitchy,Conservative mom and nurse explains why schools NEED to be open this fall in must…,['2020/07/14'],118 comments,https://twitchy.com/gregp-3534/2020/07/14/conservative-mom-and-nurse-explains-why-schools-need-to-be-open-this-fall-in-must-read-thread/,NDPACKER,Thank God for Carole Maskin!,,,,0,0
492,Townhall,Election Woes Continue: California Chucks More Than 100K Mail-In Ballots,['2020/07/14'],207 comments,https://townhall.com/tipsheet/elliebufkin/2020/07/14/election-woes-continue-california-chucks-more-than-100k-mailin-ballots-n2572430,NDPACKER,Nope.  Republicans are honest people.  democrats lie all the time about everything.,,,Fred the Head,2,?
493,Twitchy,CNN boss announces in memo a ‘new and expanded race team’ and more permane…,['2020/07/13'],104 comments,https://twitchy.com/brettt-3136/2020/07/13/cnn-boss-announces-in-memo-a-new-and-expanded-race-team-and-more-permanent-commitment-to-race-coverage/,NDPACKER,democrats (this includes all members of the main stream media) are the most racist animals on the plent.,,,dean b,1,?
494,Twitchy,‘Grab some self-awareness’: Brian Stelter steps on a rake labeled ‘CNN’ in rush to s…,['2020/07/13'],66 comments,https://twitchy.com/dougp-3137/2020/07/13/grab-some-self-awareness-brian-stelter-steps-on-a-rake-labeled-cnn-in-rush-to-sound-alarm-about-truth-emergency-in-trumps-white-house/,NDPACKER,"Brian Stelter:  Still fat.  Still bald.  Still stupid.  Still a sniveling, lying, liberal communist propagandist.MAGA!",,,B4Bertie,0,0
495,Twitchy,Going full KAREN! AOC snaps at Repubs in screechy thread for making fun of her cl…,['2020/07/13'],228 comments,https://twitchy.com/samj-3930/2020/07/13/going-full-karen-aoc-snaps-at-repubs-in-screechy-thread-for-making-fun-of-her-claim-that-criminals-are-only-stealing-bread/,NDPACKER,"ALL democrat controlled cities, counties, reservations and states in the USA have become third-world sh*tholes.",,,itsatax,7,?
496,Townhall,What Thomas Sowell Believes May Be the 'Point of No Return in This Country',['2020/07/13'],467 comments,https://townhall.com/tipsheet/leahbarkoukis/2020/07/13/sowell-its-the-point-of-no-return-if-biden-gets-elected-n2572357,NDPACKER,I have loaded weapons in every room of our house.,,,SigFan,7,?
497,Twitchy,California lawmaker behind AB5 suggests the school year start in March 2021,['2020/07/12'],94 comments,https://twitchy.com/gregp-3534/2020/07/12/california-lawmaker-behind-ab5-suggests-the-school-year-start-in-march-2021/,NDPACKER,No school = no tax $s collected.,,,wrestlefan01,1,?
498,Townhall,Robert Mueller Defends His Investigation and Report While Taking Swipes at Presi…,['2020/07/12'],380 comments,https://townhall.com/tipsheet/bethbaumann/2020/07/12/robert-mueller-defends-his-investigation-and-report-while-taking-swipes-at-presid-n2572333,NDPACKER,Mueller is the one that should be in prison and you can share a cell with him if you would like.,,,Guest,1,?
499,Townhall,Another Race Hoax: Texas A&M Student Leaves a Racist Note... for Himself,['2020/07/11'],433 comments,https://townhall.com/tipsheet/bethbaumann/2020/07/11/another-race-hoax-texas-am-student-leaves-a-racist-note-for-himself-n2572316,NDPACKER,Or people like you that can't spell.,,,HoosierVet,7,?
500,Townhall,Another Race Hoax: Texas A&M Student Leaves a Racist Note... for Himself,['2020/07/11'],433 comments,https://townhall.com/tipsheet/bethbaumann/2020/07/11/another-race-hoax-texas-am-student-leaves-a-racist-note-for-himself-n2572316,NDPACKER,I am not a leftest like you?,,,HoosierVet,0,0
501,Townhall,Was This Our Last Fourth of July?,['2020/07/12'],333 comments,https://townhall.com/columnists/wayneallynroot/2020/07/12/was-this-our-last-fourth-of-july-n2572321,NDPACKER,"What is ""low income hosing""?  Is that a new ghetto term?",,,HoosierVet,0,0
502,Townhall,Another Race Hoax: Texas A&M Student Leaves a Racist Note... for Himself,['2020/07/11'],433 comments,https://townhall.com/tipsheet/bethbaumann/2020/07/11/another-race-hoax-texas-am-student-leaves-a-racist-note-for-himself-n2572316,NDPACKER,"Nice try, but no.",,,HoosierVet,0,0
503,Twitchy,HA! Even Seattle’s Police Chief thinks City Council is eff’d in the head for calling to…,['2020/07/12'],34 comments,https://twitchy.com/samj-3930/2020/07/12/ha-even-seattles-police-chief-thinks-city-council-is-effd-in-the-head-for-calling-to-defund-police-department-by-50/,NDPACKER,"Ending police forces in Seattle, Minneapolis, Chicago, Detroit, New York and every other democrat controlled city would be good for all of America.  Once the gangs and war lords take over the cites and kill off their rival means less democrat voters.",,,keyboard jockey,0,0
504,Twitchy,‘He should resign’: Richard Grenell isn’t having any of the latest scandal-mongeri…,['2020/07/11'],82 comments,https://twitchy.com/dougp-3137/2020/07/11/he-should-resign-richard-grenell-isnt-having-any-of-the-latest-scandal-mongering-coming-from-serial-liar-adam-schiff/,NDPACKER,"4929/2409 is all you need to know to report and block this sniveling, lying, liberal communist propagandist.MAGA!",,,David Raineri-Maldonado,2,?
505,Twitchy,‘He should resign’: Richard Grenell isn’t having any of the latest scandal-mongeri…,['2020/07/11'],82 comments,https://twitchy.com/dougp-3137/2020/07/11/he-should-resign-richard-grenell-isnt-having-any-of-the-latest-scandal-mongering-coming-from-serial-liar-adam-schiff/,NDPACKER,Why is Schiff still alive?,,,HockeyShark,1,?
506,Twitchy,"Lisa Page, in outrage overload, says Defense Secretary Mark Esper should ha…",['2020/07/11'],129 comments,https://twitchy.com/brettt-3136/2020/07/11/lisa-page-in-outrage-overload-says-defense-secretary-mark-esper-should-have-resigned-the-instant-alexander-vindman-announced-his-retirement/,NDPACKER,Is outrage overload a symptom of TDS?,,,azcatsclaw,2,?
507,Twitchy,"Mitt Romney says Trump commuting Roger Stone’s sentence is ‘unprecedented, hist…",['2020/07/11'],178 comments,https://twitchy.com/dougp-3137/2020/07/11/mitt-romney-says-trump-commuting-roger-stones-sentence-is-unprecedented-historic-corruption/,NDPACKER,Who is this Mitt Romney of which you speak?,,,nocomment,3,?
508,Twitchy,SIREN: Michigan Dem doesn’t believe polls showing Biden leading Trump,['2020/07/10'],202 comments,https://twitchy.com/gregp-3534/2020/07/10/siren-michigan-dem-doesnt-believe-polls-showing-biden-leading-trump/,NDPACKER,"Nice try, but that will NEVER happen.",,,jumper297,0,0
509,Twitchy,WON’T back down: Goya Foods CEO Bob Unanue refuses to apologize for praising…,['2020/07/10'],150 comments,https://twitchy.com/samj-3930/2020/07/10/wont-back-down-goya-foods-ceo-bob-unanue-refuses-to-apologize-for-praising-trump-will-not-be-bullied-by-the-woke-mob/,NDPACKER,Thank God for Bob Unanue!  Thank God for Goya Foods!,,,Kilroy,3,?
510,Twitchy,‘This is insane’: Poll showing tremendous approval in NY for Gov. Cuomo’s handlin…,['2020/07/10'],160 comments,https://twitchy.com/dougp-3137/2020/07/10/this-is-insane-poll-showing-tremendous-approval-in-ny-for-gov-cuomos-handling-of-coronavirus-is-drawing-some-skepticism/,NDPACKER,The entire state of New York is now officially a third-world sh*thole.,,,,18,?
511,Twitchy,Will Brian Stelter say Joe Biden is avoiding the press as he brushes off questions wh…,['2020/07/09'],74 comments,https://twitchy.com/brettt-3136/2020/07/09/will-brian-stelter-say-joe-biden-is-avoiding-the-press-as-he-brushes-off-questions-while-surrounded-by-crowd-of-supporters/,NDPACKER,Who?,,,Gloves Donahue,1,?
512,Twitchy,"Dallas News Washington bureau chief subtweets OAN’s Chanel Rion, narcs on h…",['2020/07/09'],125 comments,https://twitchy.com/brettt-3136/2020/07/09/dallas-news-washington-bureau-chief-subtweets-oans-chanel-rion-narcs-on-her-for-not-wearing-a-mask/,NDPACKER,I'm confused.  Is his name Todd or Karen?  Or both?,,,The Penguin,6,?
513,Townhall,'We Are Not Going to Take This Crap Anymore': LAPD Scorns Nationwide Effor…,['2020/07/09'],134 comments,https://townhall.com/tipsheet/elliebufkin/2020/07/09/we-are-not-going-to-take-this-crap-anymore-lapd-scorns-nationwide-effort-to-bring-them-down-n2572180,NDPACKER,Finally!,,,Guest,7,?
514,Twitchy,"‘This is hate speech, purely and simply’: Mayor apologizes for road sign reading, ‘…",['2020/07/09'],177 comments,https://twitchy.com/brettt-3136/2020/07/09/this-is-hate-speech-purely-and-simply-mayor-apologizes-for-road-sign-reading-the-safety-of-all-lives-matter/,NDPACKER,Someone should kill that mayor.,,,Joe,2,?
515,Twitchy,Getting there: New York Times asks if Gov. Andrew Cuomo shares some blame for t…,['2020/07/09'],45 comments,https://twitchy.com/brettt-3136/2020/07/09/getting-there-new-york-times-asks-if-gov-andrew-cuomo-shares-some-blame-for-those-6200-nursing-home-deaths/,NDPACKER,Yes.  He does.,,,,1,?
516,Townhall,Analysis: Cuomo Keeps Digging,['2020/07/09'],78 comments,https://townhall.com/tipsheet/guybenson/2020/07/09/partisan-covid-blame-game-n2572100,NDPACKER,Cuomo is a democrat so that makes him a liar.,,,"Whoare""they""?✓Deplorable",2,?
517,Townhall,Wait...That's How Much NYPD Retirement Applications Have Increased?,['2020/07/09'],336 comments,https://townhall.com/tipsheet/mattvespa/2020/07/09/waitthats-how-much-nypd-retirement-applications-have-increased-n2572165,NDPACKER,democrats destroying America one city at a time.,,,Dingle,2,?
518,Townhall,Wait...That's How Much NYPD Retirement Applications Have Increased?,['2020/07/09'],336 comments,https://townhall.com/tipsheet/mattvespa/2020/07/09/waitthats-how-much-nypd-retirement-applications-have-increased-n2572165,NDPACKER,They have voted for democrats their entire life.  You just invited them to DESTROY where you live.  Idiot.,,,ElClemens,2,?
519,Twitchy,"Lt. Col. Alexander Vindman to retire from military, blames White House ‘campaign…",['2020/07/08'],279 comments,https://twitchy.com/brettt-3136/2020/07/08/lt-col-alexander-vindman-to-retire-from-military-blames-white-house-campaign-of-bullying-intimidation/,NDPACKER,"Lt. Colonel Alexander Vindman complaining about being ""bullied"".  What has become of the Army.",,,Kilroy,16,?
520,Twitchy,It looks like NBA players aren’t impressed with the food inside the Orlando bubble,['2020/07/08'],183 comments,https://twitchy.com/gregp-3534/2020/07/08/it-looks-like-nba-players-arent-impressed-with-the-food-inside-the-orlando-bubble/,NDPACKER,"They don't expect Disney to actually feed black people, do they?",,,snakebit,0,0
521,Twitchy,THERE it is! Media attempt to debunk Trump’s claim using Dr. Fauci saying it’s…,['2020/07/08'],185 comments,https://twitchy.com/dougp-3137/2020/07/08/there-it-is-media-attempt-to-debunk-trumps-claim-using-dr-fauci-saying-its-a-false-narrative-to-take-comfort-in-lower-covid-19-mortality-rate/,NDPACKER,"President Trump says less Americans dying is a good thing, and democrats think less Americans dying is somehow a bad thing.",,,,16,?
522,Townhall,"Joe Biden Says Police Have 'Become the Enemy,' 'Absolutely' Should Defund Them",['2020/07/08'],1259 comments,https://townhall.com/tipsheet/katiepavlich/2020/07/08/joe-biden-says-police-have-become-the-enemy-entertains-defunding-them-n2572130,NDPACKER,"This is now a war between democrats and the media, and conservatives.  Evil against good.  May God help us all.",,,John,1,?
523,Townhall,Supreme Court Upholds Religious Exemptions to Contraceptive Mandate,['2020/07/08'],443 comments,https://townhall.com/tipsheet/reaganmccarthy/2020/07/08/scotus-rulings-n2572097,NDPACKER,Why did this take 10 years?,,,Blayne,3,?
524,Twitchy,Two Californians charged with hate crime for painting over Black Lives Matter mur…,['2020/07/07'],167 comments,https://twitchy.com/brettt-3136/2020/07/07/two-californians-charged-with-hate-crime-for-painting-over-black-lives-matter-mural-on-independence-day/,NDPACKER,Maybe the latin population will join us in our war against antifa and black lies matter.,,,keyboard jockey,3,?
525,Twitchy,Seattle’s socialist council member tells Jeff Bezos she’s coming to dismantle the…,['2020/07/07'],218 comments,https://twitchy.com/brettt-3136/2020/07/07/seattles-socialist-council-member-tells-jeff-bezos-shes-coming-to-dismantle-the-racist-sexist-violent-utterly-bankrupt-system-of-capitalism/,NDPACKER,"Use some of your billions and have her whacked, Jeff.",,,There are 4 lights,0,0
526,Twitchy,‘What he being detained for?’ Mostly peaceful Black Lives Matter protester pu…,['2020/07/07'],226 comments,https://twitchy.com/brettt-3136/2020/07/07/what-he-being-detained-for-mostly-peaceful-black-lives-matter-protester-punches-black-trump-supporter-right-in-front-of-the-cops/,NDPACKER,Violent ignorant monkeys being violent ignorant monkeys.  Why is this news?  We have known this all of our lives.,,,William,4,?
