,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Hate?,Flag???,Responding to,Upvotes,Downvotes
91,The Gateway Pundit,REVEALED: George Floyd Swallowed Drugs During May 2019 Arrest and Admitted to…,['2020/09'],217 comments,https://www.thegatewaypundit.com/2020/09/revealed-george-floyd-swallowed-drugs-may-2019-arrest-admitted-snorting-oxycodone-daily/,Reese Witheredpoon,"No way, not Saint George of the Negrolothians!!!",1,,,2,?
92,Breitbart News Network,"Five Arrested, Including Former Detective, in Child Sex Trafficking Sting",['2020/09/12'],456 comments,https://www.breitbart.com/crime/2020/09/12/five-arrested-including-former-detective-in-child-sex-trafficking-sting/,Reese Witheredpoon,Execute all of them.,1,,,0,0
93,cosmicbook.news,Spider-Man 3 2021 Films In November Reveals Casting Info,[],15 comments,https://cosmicbook.news/spider-man-3-filming-november-casting,Reese Witheredpoon,Ignorance of the hole is no excuse.,0,,wellinevertheoriginal,1,?
94,cosmicbook.news,Spider-Man 3 2021 Films In November Reveals Casting Info,[],15 comments,https://cosmicbook.news/spider-man-3-filming-november-casting,Reese Witheredpoon,I like your father. I watch him visit the local glory holes and laugh uproariously as he tries to scrub stains off of his polo shirt.,2,,wellinevertheoriginal,1,?
95,Breitbart News Network,"Obamas, Netflix Board Member Susan Rice Silent Amid ‘Cuties’ Firestorm",['2020/09/10'],1287 comments,https://www.breitbart.com/entertainment/2020/09/10/obamas-netflix-board-member-susan-rice-silent-amid-cuties-firestorm/,Reese Witheredpoon,I win!,0,,Guest,0,0
96,The Daily Wire,NFL Season Opener Ratings Lower Than 2019’s,[],117 comments,https://www.dailywire.com/news/nfl-season-opener-ratings-lower-than-2019s,Reese Witheredpoon,Your mother and her kneepads.,2,,Guest,0,0
97,Breitbart News Network,Ihan Omar Shifts Tone on 9/11: ‘One of the Most Horrific Terrorist Attacks We Have…,['2020/09/11'],1691 comments,https://www.breitbart.com/politics/2020/09/11/ihan-omar-shifts-tone-on-9-11-one-of-the-most-horrific-terrorist-attacks-we-have-lived-through/,Reese Witheredpoon,"Too late, pig.",2,,,7,?
98,The Gateway Pundit,Minnesota Police Group Pulls Support for Radical Democrats After BLM Candidates…,['2020/09'],151 comments,https://www.thegatewaypundit.com/2020/09/minnesota-police-group-pulls-support-radical-democrats-blm-candidates-threaten-police-chief-family-home/,Reese Witheredpoon,Reggins.,1,,,0,0
99,The Daily Wire,NFL Season Opener Ratings Lower Than 2019’s,[],117 comments,https://www.dailywire.com/news/nfl-season-opener-ratings-lower-than-2019s,Reese Witheredpoon,Americans finally realized they don't really need sports.,2,?,,5,?
100,cosmicbook.news,Spider-Man 3 2021 Films In November Reveals Casting Info,[],15 comments,https://cosmicbook.news/spider-man-3-filming-november-casting,Reese Witheredpoon,Zendaya is just gross. She looks like she always smells bad.,2,,,1,?
101,cosmicbook.news,"Wonder Woman Snubs Melania, Ivanka Trump",[],79 comments,https://cosmicbook.news/wonder-woman-snubs-melania-ivanka-trump,Reese Witheredpoon,More money saved.,0,,,3,?
102,cosmicbook.news,WandaVision Filming Reshoots,[],4 comments,https://cosmicbook.news/wandavision-filming-reshoots,Reese Witheredpoon,I thought Crapstain Marvel was the most powerful character.,2,,,1,1
103,The Gateway Pundit,22-Year-Old Who Had His Arm Partially Blown Off After Pointing a Gun at 17-Yea…,['2020/09/22'],1177 comments,https://www.thegatewaypundit.com/2020/09/22-year-old-arm-partially-blown-off-pointing-pistol-17-year-old-kyle-rittenhouses-head-cries-victim-cnn/,Reese Witheredpoon,"Aww, poor Grossfartz.",2,,,5,?
104,The Gateway Pundit,VIDEO: Black Woman Refuses To Move For White Flight Attendant…Shouts In Face…,['2020/09'],2070 comments,https://www.thegatewaypundit.com/2020/09/video-black-woman-refuses-move-white-flight-attendantshouts-face-passenger-wake-2020-dont-white-privilege/,Reese Witheredpoon,They only understand drums and click-clicks.,0,,Clockwork Orange,2,?
105,Breitbart News Network,"Obamas, Netflix Board Member Susan Rice Silent Amid ‘Cuties’ Firestorm",['2020/09/10'],1287 comments,https://www.breitbart.com/entertainment/2020/09/10/obamas-netflix-board-member-susan-rice-silent-amid-cuties-firestorm/,Reese Witheredpoon,"Pedos lie, pedos cry, just ask Jameson, the Pedo Guy!",2,,Guest,0,0
106,Breitbart News Network,"Obamas, Netflix Board Member Susan Rice Silent Amid ‘Cuties’ Firestorm",['2020/09/10'],1287 comments,https://www.breitbart.com/entertainment/2020/09/10/obamas-netflix-board-member-susan-rice-silent-amid-cuties-firestorm/,Reese Witheredpoon,"Aww, the pedophile is upset that his partners in crime are finally being exposed. Boo hoo hoo.",2,,Guest,2,?
107,Breitbart News Network,"Judge Napolitano Sued for 1988 Sexual Assault; ‘Pure Fiction,’ He Says",['2020/09/11'],1877 comments,https://www.breitbart.com/the-media/2020/09/11/judge-napolitano-sued-for-1988-sexual-assault-pure-fiction-he-says/,Reese Witheredpoon,Judge Lappingadongo.,2,?,,0,0
108,The Daily Wire,"Netflix Defends ‘Cuties’ Movie Accused Of Sexualizing Children, Calling It ‘A Powerf…",[],405 comments,https://www.dailywire.com/news/netflix-defends-cuties-movie-accused-of-sexualizing-children-calling-it-a-powerful-story,Reese Witheredpoon,It's child porn. Time for the FBI to get in there and clean that Liberal HeIIhole up.,2,,,0,0
109,Breitbart News Network,"WATCH: Chiefs, Texans Booed During Moment of ‘Unity’",['2020/09/10'],2000 comments,https://www.breitbart.com/sports/2020/09/10/watch-chiefs-texans-booed-during-moment-of-unity/,Reese Witheredpoon,Ted Wheeler attended because he heard a tight end would be present.,0,,,1,?
110,Breitbart News Network,"WATCH: Chiefs, Texans Booed During Moment of ‘Unity’",['2020/09/10'],2000 comments,https://www.breitbart.com/sports/2020/09/10/watch-chiefs-texans-booed-during-moment-of-unity/,Reese Witheredpoon,QB now stands for Queer Bait.,2,,,1,?
111,Breitbart News Network,"Obamas, Netflix Board Member Susan Rice Silent Amid ‘Cuties’ Firestorm",['2020/09/10'],1287 comments,https://www.breitbart.com/entertainment/2020/09/10/obamas-netflix-board-member-susan-rice-silent-amid-cuties-firestorm/,Reese Witheredpoon,"They're pedophiles too, they probably funded the production of this disaster.",2,,,4,?
112,Breitbart News Network,WATCH: Chloe x Halle Sing National Anthem in Shirts Honoring Breonna Tayl…,['2020/09/10'],761 comments,https://www.breitbart.com/sports/2020/09/10/watch-chloe-x-halle-sing-national-anthem-in-shirts-honoring-breonna-taylor-george-floyd/,Reese Witheredpoon,"I wrote some lyrics about Brionna:You be black an' dat mean you dumb,Wastin' yo' life wit dat criminal scum,But bein' a ho is all dat you wanna,And now you be dead, stupid Brionna.",1,,,5,?
113,Breitbart News Network,"WATCH: Texans Leave Field, Chiefs Stand Arm-in-Arm for National Anthem, ‘Black…",['2020/09/10'],6036 comments,https://www.breitbart.com/sports/2020/09/10/watch-texans-leave-field-chiefs-stand-arm-in-arm-for-national-anthem-black-national-anthem/,Reese Witheredpoon,National F**ktards League.,2,,,3,?
114,cosmicbook.news,'Cancel Netflix' Trends Amid Pedophilia 'Cuties' Backlash,[],39 comments,https://cosmicbook.news/netflix-pedophilia-cuties,Reese Witheredpoon,Kipper is on Epstein's flight logs.,0,,Kipper Parrish,1,?
115,cosmicbook.news,'Cancel Netflix' Trends Amid Pedophilia 'Cuties' Backlash,[],39 comments,https://cosmicbook.news/netflix-pedophilia-cuties,Reese Witheredpoon,"I called it weeks ago. I knew what you were from day 1, pedo scum.",2,,Kipper Parrish,4,?
116,cosmicbook.news,'Cancel Netflix' Trends Amid Pedophilia 'Cuties' Backlash,[],39 comments,https://cosmicbook.news/netflix-pedophilia-cuties,Reese Witheredpoon,Kipper Parrish already owns the Blu Ray and is trying to get a VHS copy as well so he can watch it at David Hamburger's studio apartment.,0,,,3,?
117,cosmicbook.news,Disney Star Wars Clueless Confirms Daisy Ridley,[],54 comments,https://cosmicbook.news/disney-star-wars-clueless-daisy-ridley,Reese Witheredpoon,It smells like David Hamburger's bloody underpants.,2,,Guest,2,?
118,cosmicbook.news,Disney Star Wars Clueless Confirms Daisy Ridley,[],54 comments,https://cosmicbook.news/disney-star-wars-clueless-daisy-ridley,Reese Witheredpoon,Josh Gad and Kipper Parrish troll the neighborhood together looking for underage lovers.,2,,,3,?
119,cosmicbook.news,"Hercules, Marvel Boy Bi-Sexual In Guardians of the Galaxy",[],51 comments,https://cosmicbook.news/marvel-comics-hercules-marvel-boy-bi-sexual-guardians-galaxy,Reese Witheredpoon,And now he reciprocates the behavior. So sick.,2,,TheLaughingMan,1,?
120,The Daily Wire,WATCH: ‘The View’ Co-Host Sunny Hostin Calls Black Conservatives ‘Props’,[],242 comments,https://www.dailywire.com/news/watch-the-view-co-host-sunny-hostin-calls-black-conservatives-props,Reese Witheredpoon,Poor Scummy Hotstink... to stupid to know better.,2,,,3,?
121,cosmicbook.news,"'The Walking Dead' Ending; Daryl, Carol Getting Spinoff",[],4 comments,https://cosmicbook.news/walking-dead-ending-daryl-carol-spinoff,Reese Witheredpoon,Scott Gimple = cancer.,2,,,1,?
122,Breitbart News Network,Women Accused of Stealing MAGA Hat from 7-Year Old Charged with Hate Crime,['2020/09/09'],1160 comments,https://www.breitbart.com/politics/2020/09/09/women-accused-of-stealing-maga-hat-from-7-year-old-charged-with-hate-crime/,Reese Witheredpoon,"Enjoy prison, slobs.",2,,,1,?
123,cosmicbook.news,"'Eternals' Has Goofy Bollywood Dance Scene, Manga Influence",[],66 comments,https://cosmicbook.news/eternals-goofy-bollywood-manga,Reese Witheredpoon,Get some water because this is a raging hot DUMPSTER FIRE!!!!!!,2,?,,2,?
124,The Daily Wire,"BREAKING: Entire Rochester Command Force, Police Chief Resign Over Daniel Pr…",[],506 comments,https://www.dailywire.com/news/breaking-entire-rochester-command-force-police-chief-resign-over-daniel-prude-case,Reese Witheredpoon,Goodbye Rot-chester.,2,,,0,0
125,Breitbart News Network,Antifa Mugshots: Several Portland Rioters Released Without Bail,['2020/09/08'],2526 comments,https://www.breitbart.com/politics/2020/09/08/antifa-mugshots-several-portland-rioters-released-without-bail/,Reese Witheredpoon,"Salty Cracker always accuses them of being meth addicts. I think he's 100% correct.P.S. Check out Salty's channel on YouTube, he's great!",0,,,0,0
126,Breitbart News Network,Nolte: Minneapolis City Council Realize Dismantling Police More ‘Complicated’ t…,['2020/09/08'],374 comments,https://www.breitbart.com/politics/2020/09/08/nolte-minneapolis-city-council-realize-dismantling-police-more-complicated-expected/,Reese Witheredpoon,Allow me: DUHHHHHHH!!!!,0,,,1,?
127,Breitbart News Network,WATCH: Black Lives Matter Agitators Harass Black McDonald’s Manager,['2020/09/08'],624 comments,https://www.breitbart.com/politics/2020/09/08/watch-black-lives-matter-agitators-harass-black-mcdonalds-manager/,Reese Witheredpoon,I'm just waiting patiently for the green light. *Bang bang* and then *thud*.,1,,,4,?
128,Breitbart News Network,Veteran Calls out Left for Using His Image for Anti-Trump Meme,['2020/09/08'],2540 comments,https://www.breitbart.com/2020-election/2020/09/08/veteran-calls-out-left-using-his-image-anti-trump-meme/,Reese Witheredpoon,This brave man is the warrior that Antifa-tards can only dream of being.,2,,,2,?
129,cosmicbook.news,Wonder Woman 1984 Producer Gloated About New Cyborg Says Ray Fisher,[],21 comments,https://cosmicbook.news/geoff-johns-gloated-cyborg-ray-fisher,Reese Witheredpoon,"Poor Kipper, getting salty because his favorite 9 year old bedroom partner wouldn't stop crying so he was forced to watch three episodes of the Powerpuff Girls.",2,?,Kipper Parrish,0,0
130,The Daily Wire,Family Hosting Gender Reveal Party May Have To Pay Millions For Allegedly Starti…,[],134 comments,https://www.dailywire.com/news/family-hosting-gender-reveal-party-may-have-to-pay-millions-for-allegedly-starting-ca-fire,Reese Witheredpoon,"Yes, it's hyperbole. I just want all California Liberals to be loaded onto the high speed train to Hades!!!",2,,off the reservation,0,0
131,The Daily Wire,Family Hosting Gender Reveal Party May Have To Pay Millions For Allegedly Starti…,[],134 comments,https://www.dailywire.com/news/family-hosting-gender-reveal-party-may-have-to-pay-millions-for-allegedly-starting-ca-fire,Reese Witheredpoon,They need to revolt and kill the Liberal invaders then.,1,,zazoo,1,?
132,The Daily Wire,Family Hosting Gender Reveal Party May Have To Pay Millions For Allegedly Starti…,[],134 comments,https://www.dailywire.com/news/family-hosting-gender-reveal-party-may-have-to-pay-millions-for-allegedly-starting-ca-fire,Reese Witheredpoon,I have no problem with all of California burning.,1,?,,1,1
133,Breitbart News Network,Nolte: California Is Now a Third-World Country,['2020/09/07'],2906 comments,https://www.breitbart.com/politics/2020/09/07/nolte-california-is-now-a-third-world-country/,Reese Witheredpoon,*wins,0,,oic,0,0
134,Breitbart News Network,Nolte: California Is Now a Third-World Country,['2020/09/07'],2906 comments,https://www.breitbart.com/politics/2020/09/07/nolte-california-is-now-a-third-world-country/,Reese Witheredpoon,Habl sounds like one of those terrorist names.,2,,Habl,1,?
135,The Gateway Pundit,Rochester Mayor Brings in Church Elders to Act as Human Shields During Black Lives…,['2020/09'],419 comments,https://www.thegatewaypundit.com/2020/09/rochester-mayor-brings-church-elders-act-human-shields-black-lives-matter-protest/,Reese Witheredpoon,There's nothing lovely about this fat reggin.,1,,,2,?
136,cosmicbook.news,Guardians of the Galaxy 6 Nova Review (2020),[],12 comments,https://cosmicbook.news/guardians-galaxy-6-nova-review,Reese Witheredpoon,*feeder's,0,,Hal_Jordan55,0,0
137,cosmicbook.news,Guardians of the Galaxy 6 Nova Review (2020),[],12 comments,https://cosmicbook.news/guardians-galaxy-6-nova-review,Reese Witheredpoon,So speaks Jerkules.,0,,Hal_Jordan55,1,?
138,The Gateway Pundit,‘F*ck White People!’ – BLM-Biden Supporters Scream at Elderly Couple Din…,['2020/09'],2080 comments,https://www.thegatewaypundit.com/2020/09/fck-white-people-blm-biden-supporters-scream-elderly-couple-dining-outdoors-pittsburgh-steal-drinks-off-table-video/,Reese Witheredpoon,All I see is big fat reggin trash.,1,,,0,0
139,cosmicbook.news,"Hercules, Marvel Boy Bi-Sexual In Guardians of the Galaxy",[],51 comments,https://cosmicbook.news/marvel-comics-hercules-marvel-boy-bi-sexual-guardians-galaxy,Reese Witheredpoon,Exactly. I greeted this news with a yawn.,0,,giftofgab247,2,?
140,cosmicbook.news,"Hercules, Marvel Boy Bi-Sexual In Guardians of the Galaxy",[],51 comments,https://cosmicbook.news/marvel-comics-hercules-marvel-boy-bi-sexual-guardians-galaxy,Reese Witheredpoon,This must be more garbage courtesy of Sana Imatwat.,2,,,2,?
141,cosmicbook.news,Wonder Woman 1984 Producer Gloated About New Cyborg Says Ray Fisher,[],21 comments,https://cosmicbook.news/geoff-johns-gloated-cyborg-ray-fisher,Reese Witheredpoon,Geoff Johns and Kipper Parrish frequently drive around and abduct small children together.,2,,,2,?
142,Breitbart News Network,Critics Call for Hobby Lobby Boycott over Viral Image of Pro-Trump Display,['2020/09/07'],1329 comments,https://www.breitbart.com/politics/2020/09/07/critics-call-hobby-lobby-boycott-viral-image-pro-trump-display/,Reese Witheredpoon,Lots of modeling stuff too.,0,,I M Deplorable,1,?
143,Breitbart News Network,Critics Call for Hobby Lobby Boycott over Viral Image of Pro-Trump Display,['2020/09/07'],1329 comments,https://www.breitbart.com/politics/2020/09/07/critics-call-hobby-lobby-boycott-viral-image-pro-trump-display/,Reese Witheredpoon,I LOVE Hobby Lobby. I go there all the time!!!,0,,,2,?
144,The Gateway Pundit,BREAKING EXCLUSIVE: BLM Activist Who Attempted to Kill Conservative After Me…,['2020/09'],423 comments,https://www.thegatewaypundit.com/2020/09/breaking-exclusive-blm-activist-attempted-kill-conservative-memorial-murdered-trump-supporter-identified/,Reese Witheredpoon,That's what they threaten to do to Conservatives.,0,,The Monk,1,?
145,The Gateway Pundit,BREAKING EXCLUSIVE: BLM Activist Who Attempted to Kill Conservative After Me…,['2020/09'],423 comments,https://www.thegatewaypundit.com/2020/09/breaking-exclusive-blm-activist-attempted-kill-conservative-memorial-murdered-trump-supporter-identified/,Reese Witheredpoon,Now go find his family and kill them.,1,,,5,?
146,Breitbart News Network,Video: Black Lives Matter Activists Harass Diners in Rochester,['2020/09/05'],837 comments,https://www.breitbart.com/politics/2020/09/05/video-black-lives-matter-activists-harass-diners-in-rochester/,Reese Witheredpoon,Got it! 😉,0,,cynicgal,0,0
147,Breitbart News Network,Cardi B Rages About ‘Racist’ MAGA Supporters After Her Sister Harassed in t…,['2020/09/07'],2135 comments,https://www.breitbart.com/entertainment/2020/09/07/cardi-b-rages-about-racist-maga-supporters-after-her-sister-harassed-in-the-hamptons/,Reese Witheredpoon,"Aww, poor Retardi B.",0,,,2,?
148,The Gateway Pundit,EXCLUSIVE: Militant Leftist Attempts to Kill Conservative Activist After Memorial for…,['2020/09'],962 comments,https://www.thegatewaypundit.com/2020/09/exclusive-militant-leftist-attempts-kill-conservative-activist-memorial-trump-supporter-murdered-portland-antifa-videos/,Reese Witheredpoon,"Seriously, it began a while ago.",0,,MarcusWoodson,1,?
149,Breitbart News Network,Joe Biden Touts Wall Street Support for His Plan to Abolish American Suburbs,['2020/09/06'],3273 comments,https://www.breitbart.com/politics/2020/09/06/joe-biden-touts-wall-street-support-his-plan-abolish-american-suburbs/,Reese Witheredpoon,Bingo!,0,,Opinionated,3,?
150,Breitbart News Network,MSNBC’s Joy Reid Shocked by Large Crowd Watching Football Game: ‘We Are Still in…,['2020/09/06'],2057 comments,https://www.breitbart.com/sports/2020/09/06/msnbcs-joy-reid-shocked-large-crowd-watching-football-game-we-are-still-pandemic-people/,Reese Witheredpoon,Am I the only person who confuses Joe Reid with that other black man Simon Sanders? The one working for the Biden campaign?,,,,0,0
151,Breitbart News Network,Mark Kelly Supporter Allegedly Threatens to Shoot Rep. Paul Gosar in the Head,['2020/09/06'],1187 comments,https://www.breitbart.com/politics/2020/09/06/mark-kelly-supporter-allegedly-threatens-rep-paul-gosar-head/,Reese Witheredpoon,I hope the old bag goes to jail and is knifed to death by some puta.,,,,4,?
152,Breitbart News Network,Michael Moore Accuses Joe Biden of Going After ‘White Racist Redneck Votes in Mic…,['2020/09/06'],1078 comments,https://www.breitbart.com/entertainment/2020/09/06/michael-moore-accuses-joe-biden-of-going-after-white-racist-redneck-votes-in-michigan-after-ex-gop-gov-endorsement/,Reese Witheredpoon,I thought Michael Moore-Twinkies got cancelled by the Twitter mob.,,,,2,?
153,The Daily Wire,Restaurants Side With Protesters After Protesters Chase Customers Out Of Esta…,[],449 comments,https://www.dailywire.com/news/restaurants-side-with-protesters-after-protesters-chase-customers-out-of-establishment,Reese Witheredpoon,I'm so tired of reggins and reggin lovers.,,,,0,0
154,The Daily Wire,San Francisco Mayor Defends Nancy Pelosi Defying COVID Orders: She’s Fighting ‘Di…,[],347 comments,https://www.dailywire.com/news/san-francisco-mayor-defends-nancy-pelosi-defying-covid-orders-shes-fighting-dictator-terrorist-trump,Reese Witheredpoon,William is a dedicated gay reggin lover who provides A1 glory hole services.,,,Scuba Steve,0,0
155,The Daily Wire,San Francisco Mayor Defends Nancy Pelosi Defying COVID Orders: She’s Fighting ‘Di…,[],347 comments,https://www.dailywire.com/news/san-francisco-mayor-defends-nancy-pelosi-defying-covid-orders-shes-fighting-dictator-terrorist-trump,Reese Witheredpoon,London Breed is just more reggin scum.,,,,0,0
156,Breitbart News Network,VIDEOS: BLM Attacks Conservative Group in Texas,['2020/09/05'],2839 comments,https://www.breitbart.com/border/2020/09/05/videos-blm-attacks-conservative-group-in-texas/,Reese Witheredpoon,Reggins need to die.,,,,0,0
157,cosmicbook.news,Eternals: Salma Hayek Ajak Leak Reveals Costume,[],5 comments,https://cosmicbook.news/eternals-leak-selma-hayek-costume-details,Reese Witheredpoon,I will never watch this garbage-fest.,,,,2,?
158,Breitbart News Network,Video: Black Lives Matter Activists Harass Diners in Rochester,['2020/09/05'],837 comments,https://www.breitbart.com/politics/2020/09/05/video-black-lives-matter-activists-harass-diners-in-rochester/,Reese Witheredpoon,Soros is a billionaire,,,PlatformNotPerson,1,?
159,Breitbart News Network,Video: Black Lives Matter Activists Harass Diners in Rochester,['2020/09/05'],837 comments,https://www.breitbart.com/politics/2020/09/05/video-black-lives-matter-activists-harass-diners-in-rochester/,Reese Witheredpoon,Vote Democrat??,,,cynicgal,0,0
160,Breitbart News Network,Video: Black Lives Matter Activists Harass Diners in Rochester,['2020/09/05'],837 comments,https://www.breitbart.com/politics/2020/09/05/video-black-lives-matter-activists-harass-diners-in-rochester/,Reese Witheredpoon,Reggins make the world unsafe for everyone.,,,,2,?
161,The Daily Wire,NY Heats Up Over Daniel Prude: ‘We Gonna Put Matters Into Our Own Hands If Justic…,[],455 comments,https://www.dailywire.com/news/ny-heats-up-over-daniel-prude-we-gonna-put-matters-into-our-own-hands-if-justice-dont-come-we-got-100000-deep-ready,Reese Witheredpoon,Take these reggins down in a sustained hail of bullets. Society will thank you.,,,,0,0
162,cosmicbook.news,Black Widow Feminist MeToo Movie Confirms Scarlett Johansson,[],75 comments,https://cosmicbook.news/black-widow-feminist-metoo-movie-scarlett-johansson,Reese Witheredpoon,"Kipper makes sweet, passionate love to 7 year old children.",,,Kipper Parrish,2,?
163,cosmicbook.news,Black Widow Feminist MeToo Movie Confirms Scarlett Johansson,[],75 comments,https://cosmicbook.news/black-widow-feminist-metoo-movie-scarlett-johansson,Reese Witheredpoon,I don't need to watch this movie. I bet many others feel the same way.,,,,3,?
164,The Daily Wire,Internal Universal Films Memo Reveals Social Justice Agenda That Will Drive Co…,[],271 comments,https://www.dailywire.com/news/internal-universal-films-memo-reveals-social-justice-agenda-that-will-drive-content,Reese Witheredpoon,Don't care. I won't be watching.,,,,1,?
165,The Daily Wire,WATCH: Car Drives Through Daniel Prude Protesters In NYC,[],160 comments,https://www.dailywire.com/news/watch-car-drives-through-daniel-prude-protesters-in-nyc,Reese Witheredpoon,"Dirty, dirty reggins.",,,,0,0
166,The Gateway Pundit,GOING VIRAL: Washington State Patrol Rips Black Lives Matter Militant Out of V…,['2020/09'],1630 comments,https://www.thegatewaypundit.com/2020/09/going-viral-washington-state-patrol-rips-black-lives-matter-militant-vehicle-illegally-blocking-traffic-highway-video/,Reese Witheredpoon,Dirty reggins need constant beatings.,,,,3,?
167,Breitbart News Network,Suspect in Fatal Shooting of Conservative Activist Killed by Police,['2020/09/03'],9935 comments,https://www.breitbart.com/politics/2020/09/03/suspect-fatal-shooting-conservative-activist-killed-police/,Reese Witheredpoon,She sure is!!,,,Dorian Winchester,0,0
168,Breitbart News Network,Suspect in Fatal Shooting of Conservative Activist Killed by Police,['2020/09/03'],9935 comments,https://www.breitbart.com/politics/2020/09/03/suspect-fatal-shooting-conservative-activist-killed-police/,Reese Witheredpoon,WHAT A GREAT WAY TO END THE SUMMER!!!!! Party time!,,,,2,?
169,cosmicbook.news,'The Batman' Filming Stops After Robert Pattinson Tests Covid Positive,[],24 comments,https://cosmicbook.news/batman-filming-stopped-robert-pattinson-covid,Reese Witheredpoon,Is her name Big Mike Obama?,,,DEADPOOL,1,?
170,cosmicbook.news,'The Batman' Filming Stops After Robert Pattinson Tests Covid Positive,[],24 comments,https://cosmicbook.news/batman-filming-stopped-robert-pattinson-covid,Reese Witheredpoon,"Aww, you like penis in your behind.",,,DEADPOOL,2,?
171,cosmicbook.news,'The Batman' Filming Stops After Robert Pattinson Tests Covid Positive,[],24 comments,https://cosmicbook.news/batman-filming-stopped-robert-pattinson-covid,Reese Witheredpoon,"Bernie is a sad, gay little man.",,,DEADPOOL,4,?
172,cosmicbook.news,'The Batman' Filming Stops After Robert Pattinson Tests Covid Positive,[],24 comments,https://cosmicbook.news/batman-filming-stopped-robert-pattinson-covid,Reese Witheredpoon,Pattinson is already HIV+.,,,,1,?
173,Breitbart News Network,Primetime Ratings Crash for Woke MLB,['2020/09/04'],439 comments,https://www.breitbart.com/sports/2020/09/04/primetime-ratings-crash-woke-mlb/,Reese Witheredpoon,F every professional athlete right in the A.,,,,0,0
174,Breitbart News Network,Scarborough on Trump: ‘The Man Would Shoot Us if He Could’,['2020/09/04'],1226 comments,https://www.breitbart.com/clips/2020/09/04/scarborough-on-trump-the-man-would-shoot-us-if-he-could/,Reese Witheredpoon,Look at this intern murderer accusing others of wanting to commit murder.,,,,2,?
175,Breitbart News Network,WATCH: Tearful Salon Owner Says ‘Mrs. Pelosi Owes the Entire Country an Apolo…,['2020/09/04'],2614 comments,https://www.breitbart.com/politics/2020/09/04/watch-tearful-salon-owner-says-mrs-pelosi-owes-the-entire-country-an-apology/,Reese Witheredpoon,"How awesome is it to find out that the murderer of Patriot Prayer member Aaron ""Jay"" Danielson, that Antifa garbage monster Michael Forest Reinoehl, was gunned down and ended by the Feds yesterday? Hallelulah!!! https://www.thestranger.com...",,,,4,?
176,Breitbart News Network,"Joe Biden: ‘A Black Man Invented the Light Bulb, Not a White Guy Named Edison’",['2020/09/04'],3174 comments,https://www.breitbart.com/politics/2020/09/04/joe-biden-a-black-man-invented-the-light-bulb-not-a-white-guy-named-edison/,Reese Witheredpoon,This is a common scam among blacks. They find a black person who improved on an existing invention and claim that that person actually invented the thing. They can't accept that innovation is not something that they excel in.,,,,1,?
177,Breitbart News Network,Report: DOJ to File Antitrust Charges Against Google in the Coming Weeks,['2020/09/03'],483 comments,https://www.breitbart.com/tech/2020/09/03/report-doj-to-file-antitrust-charges-against-google-in-the-coming-weeks/,Reese Witheredpoon,"Settle down Cletus Diabeetus, I'm sure there's more going on behind the scenes.",,,cm6096,2,?
178,Breitbart News Network,Watch – BLM Protesters to Police: ‘Y’all Are the Murderers … Y’all Need to Start Bein…,['2020/09/03'],1310 comments,https://www.breitbart.com/politics/2020/09/03/watch-blm-protesters-to-police-yall-are-the-murderers-yall-need-to-start-being-killed-like-yall-kill-us/,Reese Witheredpoon,BLM: setting black people back 100 years.,,,,0,0
179,The Daily Wire,WATCH: Biden Finally Takes Real Question From A Reporter. It Doesn’t Go Well.,[],251 comments,https://www.dailywire.com/news/watch-biden-finally-takes-real-question-from-a-reporter-it-doesnt-go-well,Reese Witheredpoon,Exactly!!!,,,T llama,6,?
180,The Daily Wire,WATCH: Biden Finally Takes Real Question From A Reporter. It Doesn’t Go Well.,[],251 comments,https://www.dailywire.com/news/watch-biden-finally-takes-real-question-from-a-reporter-it-doesnt-go-well,Reese Witheredpoon,Joe talks like your 3 year old in the backseat on a three hour car ride.,,,,30,?
181,The Gateway Pundit,San Francisco Salon Owner Railroaded by Nancy Pelosi Target of Outrage and Deat…,['2020/09'],709 comments,https://www.thegatewaypundit.com/2020/09/san-francisco-salon-owner-railroaded-nancy-pelosi-target-outrage-death-threats-will-relocate-business/,Reese Witheredpoon,Can we please start killing Liberals now??,,,,2,?
182,Breitbart News Network,"Bloomberg-Funded Group: Trump May Win Election Night, But Joe Biden Will Win Da…",['2020/09/01'],7916 comments,https://www.breitbart.com/2020-election/2020/09/01/bloomberg-funded-group-trump-may-win-election-night-but-joe-biden-will-win-days-later-due-to-mail-in-votes/,Reese Witheredpoon,Yep. I can smell it in the air.,,,John Petimore,3,?
183,Breitbart News Network,Trump: I Don’t Want My Supporters Confronting Protesters,['2020/08/31'],5930 comments,https://www.breitbart.com/clips/2020/08/31/trump-i-dont-want-my-supporters-confronting-protesters/,Reese Witheredpoon,You're confusing Trump with Obama and his man-wife Big Mike. It happens.,,,JDStiltonIII,1,?
184,Breitbart News Network,Trump: I Don’t Want My Supporters Confronting Protesters,['2020/08/31'],5930 comments,https://www.breitbart.com/clips/2020/08/31/trump-i-dont-want-my-supporters-confronting-protesters/,Reese Witheredpoon,"Another day, another gay.",,,Guest,1,?
